address	street	address:name	street:name	town	administrative-area	postcode	long	lat
100110755872	9200041	H M PRISON	NORTH LANE	HAVERIGG	CUMBRIA	LA18 4NA	54.2006711	-3.3124232
100121267010	4700516	HM PRISON HEWELL GRANGE	HEWELL LANE	TARDEBIGGE	WORCESTERSHIRE	B97 6QE	52.3192968	-1.991307
100062499824	31200703	HMP HIGH DOWN	HIGHDOWN LANE	BANSTEAD	SURREY	SM2 5PJ	51.336839	-0.1887091
10090740900	37403464	HMP HIGHPOINT	HAVERHILL ROAD	STRADISHALL	SUFFOLK	CB8 9YN	52.1376505	0.5142288
100012815264	44103804	HM PRISON HINDLEY	BARRACKS ROAD	BICKERSHAW	WIGAN	WN2 5TH	53.5177679	-2.5769486
10008620964	38602424	HOLLESLEY BAY	COLONY ROAD	HOLLESLEY	SUFFOLK	IP12 3JW	52.0512856	1.4513718
100110796240	38201149	HM PRISON HOLME HOUSE	HOLME HOUSE ROAD		STOCKTON-ON-TEES	TS18 2QU	54.5778071	-1.2931221
21138448	19101947	HM PRISON HULL	HEDON ROAD		KINGSTON UPON HULL	HU9 5LS	53.748285	-0.2967819
200000644367	45902652	HMP HUMBER	SAND LANE	NORTH CAVE	EAST RIDING OF YORKSHIRE	HU15 2JZ	53.7695482	-0.641307
100121308432	36216178	H M YOUNG OFFENDERS INSTITUTION	NUFFIELD	HENLEY-ON-THAMES	OXFORDSHIRE	RG9 5SB	51.5876623	-1.0183266
10010227766	20801709	HMP ISIS	BELMARSH ROAD	THAMESMEAD	GREENWICH	SE28 0FG	51.4972485	0.096997
10003332444	82001268	HMP ISLE OF WIGHT ALBANY	PARKHURST ROAD	NEWPORT	ISLE OF WIGHT	PO30 5RS	50.7119861	-1.3048864
100012390917	14800692	H M PRISON KIRKHAM	FRECKLETON ROAD	KIRKHAM	LANCASHIRE	PR4 2RN	53.7749198	-2.8732018
10090294422	38205067	RESIDENTIAL ACCOMMODATION, HM DETENTION CENTRE	KIRKLEVINGTON GRANGE	YARM	STOCKTON-ON-TEES	TS15 9PA	54.4950741	-1.339546
200001339049	19701800	HM YOUNG OFFENDERS INSTITUTION LANCASTER FARMS	FAR MOOR LANE	LANCASTER	LANCASHIRE	LA1 3QZ	54.0527102	-2.7720626
72079826	23005523	ARMLEY GAOL	GLOUCESTER TERRACE	ARMLEY	LEEDS	LS12 2TJ	53.7957436	-1.5761738
2465057785	23104328	H M PRISON	WELFORD ROAD	LEICESTER	LEICESTER CITY	LE2 7AJ	52.6277193	-1.1325366
100062273779	23301055	LEWES PRISON	BRIGHTON ROAD	LEWES	EAST SUSSEX	BN7 1EA	50.8728619	-0.0052748
582486	48030012	H M PRISON LEYHILL	TORTWORTH ROAD	TORTWORTH	SOUTH GLOUCESTERSHIRE	GL12 8BT	51.6280384	-2.4367798
235033467	23509591	H M PRISON	GREETWELL ROAD	LINCON	LINCONSHIRE	LN2 4BD	53.2354736	-0.5179672
10006712272	11201383	HMP PRISON LINDHOLME	BAWTRY ROAD	HATFIELD WOODHOUSE	DONCASTER	DN7 6EE	53.5439642	-0.966995
10000161141	17801803	LITTLEHEY PRISON	CROW SPINNEY LANE	PERRY	CAMBRIDGESHIRE	PE28 0SR	52.280808	-0.3122556
38079136	23602399	HMP Liverpool	HORNBY ROAD		LIVERPOOL	L9 3DF	53.4575594	-2.969165
10013943723	45401205	HMP LONG LARTIN	SHINEHILL LANE	SOUTH LITTLETON	WORCESTERSHIRE	WR11 8TZ	52.1096558	-1.8549766
100110739224	11706482	LOW NEWTON REMAND CENTRE	FINCHALE AVENUE	BRASSIDE	DURHAM	DH1 5YA	54.8053687	-1.556355
10008170171	26805125	HMP LOWDHAM GRANGE	OLD EPPERSTONE ROAD	LOWDHAM	NOTTINGHAMSHIRE	NG14 7DA	53.0161491	-1.0380181
200003717305	24200398	HM PRISON MAIDSTONE	COUNTY ROAD	MAIDSTONE	KENT	ME14 1UZ	51.2782657	0.5247964
10023053062	24506876	H M PRISON	SOUTHALL STREET		MANCHESTER	M3 1JL	53.4919053	-2.2467064
100051984633	11206759	HMP AND YOI MOORLAND	VULCAN WAY	LINDHOLME	DONCASTER	DN7 6BW	53.5485966	-0.9714949
10006531346	28066098	MORTON HALL IMMIGRATION REMOVAL CENTRE	EAGLE ROAD	SWINDERBY	LINCOLN|LINCOLNSHIRE	LN6 9PT	53.1679641	-0.6877216
63141057	41802820	H M PRISON AND YOUNG OFFENDER INSTITUTION	NEW HALL WAY	FLOCKTON	WAKEFIELD	WF4 4XX	53.6361578	-1.6129134
100032166609	3605198	NORTH SEA CAMP	CROPPERS LANE	FREISTON	BOSTON|LINCOLNSHIRE	PE22 0QX	52.9399916	0.0634392
10024651947	6220513	HMP NORTHUMBERLAND	U6104 ROAD TO ACKLINGTON PRISON	ACKLINGTON	NORTHUMBERLAND	NE65 9XG	55.2960889	-1.6353142
10009434824	28900591	H M PRISON	KNOX ROAD	NORWICH	NORFOLK	NR1 4LU	52.6375956	1.3176083
200001412499	29015285	H M PRISON	PERRY ROAD	NOTTINGHAM	NOTTINGHAM CITY	NG5 3AG	52.9845507	-1.1550544
10090090220	36700592	HMP OAKWOOD	OAKS DRIVE	BRINSFORD	STAFFORDSHIRE	WV10 7QD	52.647969	-2.1130074
28013722	10618249	HMYOI ONLEY	ONLEY PARK	BARBY	NORTHAMPTONSHIRE	CV23 8AP	52.3264802	-1.247678
200002656535	47600687	HMP & YOI PARC	HEOL HOPCYN JOHN	COITY	BRIDGEND	CF35 6AP	51.5309458	-3.5631548
5300014341	21604416	PENTONVILLE PRISON	CALEDONIAN ROAD	ISLINGTON	LONDON	N7 8TT	51.5450063	-0.1158575
10008051379	30101416	HMP PETERBOROUGH	SAVILLE ROAD	WESTWOOD	PETERBOROUGH	PE3 7PD	52.5865333	-0.2599467
10070567623	44000987	HM YOI	THE GROVE	PORTLAND	DORSET	DT5 1DL	50.5503498	-2.4221176
100012746893	30700124	PRESTON PRISON	RIBBLETON LANE	PRESTON	LANCASHIRE	PR1 5AB	53.7614771	-2.6893625
10013978351	2202739	H M PRISON RANBY	STRAIGHT MILE	RANBY	NOTTINGHAMSHIRE	DN22 8EU	53.3214464	-0.9990278
100012381987	42201536	HM PRISON RISLEY	WARRINGTON ROAD		WARRINGTON	WA3 6BP	53.4387813	-2.5251369
44010823	32102281	HMP ROCHESTER	FORT ROAD	ROSCHESTER	KENT	ME1 3QS	51.3666477	0.4940131
28042679	10618249	HMP RYE HILL	ONLEY PARK	BARBY	NORTHAMPTONSHIRE	CV23 8SZ	52.3275368	-1.2427884
10007066161	16001550	H M DETENTION CENTRE	RIPLEY ROAD	SEND	SURREY	GU23 7LJ	51.2726982	-0.4899068
100062087837	39000271	HM PRISON ELMLEY	CHURCH ROAD	EASTCHURCH	KENT	ME12 4DZ	51.3877639	0.8509906
